Scrip,Name,Symbol,Exchange,Open,High,Low,Close,Volume,Turnover,PrevClose,PercentChange,NetChange,BuyQty,SellQty,TotalBuy,TotalSell,NetBuy,NetSell,TotalBuyQty,TotalSellQty
Nifty 50|26000,
Nifty Bank|26009
